Country,Commitment in U.A,Status,Source of Financing,Sector
Morocco,787472.81,Completion,African Development Fund,Power
Ghana,24344460.8,Completion,African Development Bank,Power
Ethiopia,545350.84,Completion,,Power
Cameroon,9884277.33,Completion,,Power
Egypt,36037053.49,Completion,African Development Bank,Power
Lesotho,1024462.42,Completion,,Power
Mali,891669.64,Completion,African Development Fund,Power
Equatorial Guinea,349296.94,Cancelled,,Power
Djibouti,2348342.4,Completion,African Development Fund,Power
Central African Republic,201602.75,Completion,African Development Fund,Power
Tunisia,20670000.0,Completion,African Development Bank,Power
Burkina Faso,21798493.21,Completion,,Power
Multinational,8556183.31,Completion,African Development Bank,Power
Mali,10361834.89,Completion,African Development Fund,Power
Ex Zaire,13999711.16,Completion,African Development Fund,Power
Kenya,20312803.63,Completion,African Development Bank,Power
Ex Zaire,33385648.72,Completion,African Development Bank,Power
,,,,
Egypt,21175484.53,Completion,,Power
Burundi,12744848.69,Completion,,Power
Botswana,13338954.31,Completion,,Power
"Tanzania, United Republic of",11772304.58,Completion,,Power
Benin,8289467.92,Completion,African Development Fund,Power
Morocco,10000000.0,Completion,African Development Bank,Power
Egypt,4501167.17,Completion,,Power
Tunisia,10000000.0,Completion,African Development Bank,Power
Guinea,1265231.99,Completion,African Development Fund,Power
Eswatini,4699165.05,Completion,,Power
Egypt,10000000.0,Completion,,Power
Gabon,5243823.81,Completion,,Power
Malawi,5485817.15,Completion,,Power
Morocco,7600000.0,Completion,African Development Bank,Power
"Tanzania, United Republic of",7937349.99,Completion,African Development Bank,Power
Egypt,7368416.01,Completion,African Development Fund,Power
Guinea-Bissau,6013876.8,Completion,African Development Fund,Power
Benin,662124.73,Completion,African Development Fund,Power
Multinational,25422599.92,Completion,,Power
Tunisia,8000000.0,Completion,African Development Bank,Power
,,,,
Ethiopia,6496204.16,Completion,African Development Bank,Power
Gambia,4979528.24,Completion,African Development Bank,Power
Guinea-Bissau,1010000.0,Completion,African Development Bank,Power
Guinea-Bissau,2577236.3,Completion,Nigerian Trust Fund,Power
Benin,4999999.16,Completion,African Development Bank,Power
Côte d'Ivoire,3592299.62,Completion,African Development Bank,Power
Algeria,4325470.09,Completion,African Development Bank,Power
Ghana,6239999.27,Completion,African Development Bank,Power
Egypt,4996501.61,Completion,African Development Bank,Power
Algeria,3381378.87,Completion,African Development Bank,Power
Niger,5000000.0,Completion,African Development Bank,Power
Malawi,4602004.72,Completion,,Power
Mali,4998380.85,Completion,,Power
Malawi,4229137.41,Completion,African Development Bank,Power
Senegal,2900000.0,Completion,African Development Bank,Power
Morocco,5000000.0,Completion,African Development Bank,Power
Algeria,5000000.0,Completion,African Development Bank,Power
Tunisia,3750000.0,Completion,African Development Bank,Power
Egypt,4968475.98,Completion,African Development Bank,Power
